X,Y,date_ech,valeur,source,qualif,couleur,lib_zone,x_wgs84,y_wgs84,the_geom,code_zone,type_zone,val_so2,val_no2,val_o3,val_pm10,val_pm25,id,ObjectId
294309.80934398,6538555.99784649,2019/01/02 00:00:00+00,3,Atmo HDF,Bon,#99E600,Béthune,2.64383,50.5299,01010000206A080000000000002597244100000000F0E25A41,62119,commune,0,2,3,3,0,31959,25
254308.263522326,6428768.19464686,2019/01/02 00:00:00+00,3,Atmo HDF,Bon,#99E600,Amiens,2.28449,49.8988,01010000206A08000000000000CFCA2341000000A0799E5A41,80021,commune,0,1,3,3,0,30674,26
391162.21911376,6509188.04991023,2019/01/03 00:00:00+00,3,Atmo HDF,Bon,#99E600,Valenciennes,3.51387,50.3619,01010000206A08000000000000CC7A2641000000A0B8D05A41,59606,commune,0,3,3,3,0,35836,27
276533.199859203,6318360.23321337,2019/01/03 00:00:00+00,3,Atmo HDF,Bon,#99E600,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,2,2,3,0,32822,28
294309.80934398,6538555.99784649,2019/01/03 00:00:00+00,3,Atmo HDF,Bon,#99E600,Béthune,2.64383,50.5299,01010000206A080000000000002597244100000000F0E25A41,62119,commune,0,2,3,3,0,31960,29
179218.814202631,6573672.10147548,2019/01/03 00:00:00+00,2,Atmo HDF,Très bon,#00CCAA,Boulogne-sur-Mer,1.60995,50.73,01010000206A08000000000000A55C22410000004081F95A41,62160,commune,0,2,2,2,0,31537,30
339168.224548946,6556262.08622229,2019/01/03 00:00:00+00,4,Atmo HDF,Bon,#99E600,Lille,3.0468,50.6309,01010000206A08000000000000AA76254100000040DFED5A41,59350,commune,0,3,3,4,0,34115,31
440968.785684487,6495501.15758161,2019/01/03 00:00:00+00,4,Atmo HDF,Bon,#99E600,Maubeuge,3.96129,50.2834,01010000206A08000000000000AE742741000000807AC85A41,59392,commune,0,2,2,4,0,34546,32
308145.708854676,6496529.06879057,2019/01/03 00:00:00+00,3,Atmo HDF,Bon,#99E600,Arras,2.76812,50.2893,01010000206A080000000000007DDB2441000000E0BAC85A41,62041,commune,0,2,3,3,0,31106,33
207996.0157676,6612807.4664509,2019/01/03 00:00:00+00,3,Atmo HDF,Bon,#99E600,Calais,1.86846,50.952,01010000206A0800000000000041EE22410000004060115B41,62193,commune,0,1,3,2,0,32391,34
365014.383921328,6419907.29480295,2019/01/03 00:00:00+00,3,Atmo HDF,Bon,#99E600,Saint-Quentin,3.27898,49.8475,01010000206A08000000000000A0F92541000000A0B4985A41,02691,commune,0,2,3,3,0,35405,35
342672.562119118,6512347.09158884,2019/01/03 00:00:00+00,4,Atmo HDF,Bon,#99E600,Douai-Lens,3.07828,50.38,01010000206A080000000000604F882541000000E093D25A41,59178,commune,0,3,3,4,0,33253,36
254308.263522326,6428768.19464686,2019/01/03 00:00:00+00,3,Atmo HDF,Bon,#99E600,Amiens,2.28449,49.8988,01010000206A08000000000000CFCA2341000000A0799E5A41,80021,commune,0,2,3,3,0,30675,37
252130.854282409,6580252.15296222,2019/01/03 00:00:00+00,2,Atmo HDF,Très bon,#00CCAA,Saint-Omer,2.26493,50.7674,01010000206A08000000000000DCC6234100000020F6FC5A41,62765,commune,0,2,2,2,0,34977,38
263920.701552325,6626460.49089984,2019/01/03 00:00:00+00,3,Atmo HDF,Bon,#99E600,Dunkerque,2.37084,51.0292,01010000206A08000000000000280324410000002065195B41,59183,commune,1,1,3,2,0,33684,39
207996.0157676,6612807.4664509,2019/01/04 00:00:00+00,3,Atmo HDF,Bon,#99E600,Calais,1.86846,50.952,01010000206A0800000000000041EE22410000004060115B41,62193,commune,0,1,3,3,0,32392,40
391162.21911376,6509188.04991023,2019/01/04 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Valenciennes,3.51387,50.3619,01010000206A08000000000000CC7A2641000000A0B8D05A41,59606,commune,0,2,2,5,0,35837,41
365014.383921328,6419907.29480295,2019/01/04 00:00:00+00,4,Atmo HDF,Bon,#99E600,Saint-Quentin,3.27898,49.8475,01010000206A08000000000000A0F92541000000A0B4985A41,02691,commune,0,2,2,4,0,35406,42
339168.224548946,6556262.08622229,2019/01/04 00:00:00+00,4,Atmo HDF,Bon,#99E600,Lille,3.0468,50.6309,01010000206A08000000000000AA76254100000040DFED5A41,59350,commune,0,3,2,4,0,34116,43
254308.263522326,6428768.19464686,2019/01/04 00:00:00+00,4,Atmo HDF,Bon,#99E600,Amiens,2.28449,49.8988,01010000206A08000000000000CFCA2341000000A0799E5A41,80021,commune,0,2,2,4,0,30676,44
263920.701552325,6626460.49089984,2019/01/04 00:00:00+00,4,Atmo HDF,Bon,#99E600,Dunkerque,2.37084,51.0292,01010000206A08000000000000280324410000002065195B41,59183,commune,1,2,3,4,0,33685,45
276533.199859203,6318360.23321337,2019/01/04 00:00:00+00,4,Atmo HDF,Bon,#99E600,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,2,2,4,0,32823,46
308145.708854676,6496529.06879057,2019/01/04 00:00:00+00,3,Atmo HDF,Bon,#99E600,Arras,2.76812,50.2893,01010000206A080000000000007DDB2441000000E0BAC85A41,62041,commune,0,2,3,3,0,31107,47
179218.814202631,6573672.10147548,2019/01/04 00:00:00+00,3,Atmo HDF,Bon,#99E600,Boulogne-sur-Mer,1.60995,50.73,01010000206A08000000000000A55C22410000004081F95A41,62160,commune,0,1,3,2,0,31538,48
440968.785684487,6495501.15758161,2019/01/04 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Maubeuge,3.96129,50.2834,01010000206A08000000000000AE742741000000807AC85A41,59392,commune,0,2,2,5,0,34547,49
252130.854282409,6580252.15296222,2019/01/04 00:00:00+00,3,Atmo HDF,Bon,#99E600,Saint-Omer,2.26493,50.7674,01010000206A08000000000000DCC6234100000020F6FC5A41,62765,commune,0,2,2,3,0,34978,50
342672.562119118,6512347.09158884,2019/01/04 00:00:00+00,4,Atmo HDF,Bon,#99E600,Douai-Lens,3.07828,50.38,01010000206A080000000000604F882541000000E093D25A41,59178,commune,0,2,2,4,0,33254,51
294309.80934398,6538555.99784649,2019/01/04 00:00:00+00,4,Atmo HDF,Bon,#99E600,Béthune,2.64383,50.5299,01010000206A080000000000002597244100000000F0E25A41,62119,commune,0,2,2,4,0,31961,52
207996.0157676,6612807.4664509,2019/01/05 00:00:00+00,4,Atmo HDF,Bon,#99E600,Calais,1.86846,50.952,01010000206A0800000000000041EE22410000004060115B41,62193,commune,0,1,3,4,0,32393,53
339168.224548946,6556262.08622229,2019/01/05 00:00:00+00,4,Atmo HDF,Bon,#99E600,Lille,3.0468,50.6309,01010000206A08000000000000AA76254100000040DFED5A41,59350,commune,0,1,2,4,0,34117,54
179218.814202631,6573672.10147548,2019/01/05 00:00:00+00,3,Atmo HDF,Bon,#99E600,Boulogne-sur-Mer,1.60995,50.73,01010000206A08000000000000A55C22410000004081F95A41,62160,commune,0,1,3,3,0,31539,55
391162.21911376,6509188.04991023,2019/01/05 00:00:00+00,4,Atmo HDF,Bon,#99E600,Valenciennes,3.51387,50.3619,01010000206A08000000000000CC7A2641000000A0B8D05A41,59606,commune,0,1,2,4,0,35838,56
308145.708854676,6496529.06879057,2019/01/05 00:00:00+00,4,Atmo HDF,Bon,#99E600,Arras,2.76812,50.2893,01010000206A080000000000007DDB2441000000E0BAC85A41,62041,commune,0,1,2,4,0,31108,57
252130.854282409,6580252.15296222,2019/01/05 00:00:00+00,4,Atmo HDF,Bon,#99E600,Saint-Omer,2.26493,50.7674,01010000206A08000000000000DCC6234100000020F6FC5A41,62765,commune,0,1,2,4,0,34979,58
294309.80934398,6538555.99784649,2019/01/05 00:00:00+00,4,Atmo HDF,Bon,#99E600,Béthune,2.64383,50.5299,01010000206A080000000000002597244100000000F0E25A41,62119,commune,0,1,2,4,0,31962,59
254308.263522326,6428768.19464686,2019/01/05 00:00:00+00,4,Atmo HDF,Bon,#99E600,Amiens,2.28449,49.8988,01010000206A08000000000000CFCA2341000000A0799E5A41,80021,commune,0,1,2,4,0,30677,60
263920.701552325,6626460.49089984,2019/01/05 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Dunkerque,2.37084,51.0292,01010000206A08000000000000280324410000002065195B41,59183,commune,1,2,2,5,0,33686,61
365014.383921328,6419907.29480295,2019/01/05 00:00:00+00,4,Atmo HDF,Bon,#99E600,Saint-Quentin,3.27898,49.8475,01010000206A08000000000000A0F92541000000A0B4985A41,02691,commune,0,1,2,4,0,35407,62
276533.199859203,6318360.23321337,2019/01/05 00:00:00+00,4,Atmo HDF,Bon,#99E600,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,1,2,4,0,32824,63
342672.562119118,6512347.09158884,2019/01/05 00:00:00+00,4,Atmo HDF,Bon,#99E600,Douai-Lens,3.07828,50.38,01010000206A080000000000604F882541000000E093D25A41,59178,commune,0,1,2,4,0,33255,64
440968.785684487,6495501.15758161,2019/01/05 00:00:00+00,4,Atmo HDF,Bon,#99E600,Maubeuge,3.96129,50.2834,01010000206A08000000000000AE742741000000807AC85A41,59392,commune,0,1,2,4,0,34548,65
339168.224548946,6556262.08622229,2019/01/06 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Lille,3.0468,50.6309,01010000206A08000000000000AA76254100000040DFED5A41,59350,commune,0,2,2,5,0,34118,66
207996.0157676,6612807.4664509,2019/01/06 00:00:00+00,4,Atmo HDF,Bon,#99E600,Calais,1.86846,50.952,01010000206A0800000000000041EE22410000004060115B41,62193,commune,0,2,3,4,0,32394,67
276533.199859203,6318360.23321337,2019/01/06 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,2,2,5,0,32825,68
440968.785684487,6495501.15758161,2019/01/06 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Maubeuge,3.96129,50.2834,01010000206A08000000000000AE742741000000807AC85A41,59392,commune,0,2,2,5,0,34549,69
179218.814202631,6573672.10147548,2019/01/06 00:00:00+00,3,Atmo HDF,Bon,#99E600,Boulogne-sur-Mer,1.60995,50.73,01010000206A08000000000000A55C22410000004081F95A41,62160,commune,0,1,3,3,0,31540,70
342672.562119118,6512347.09158884,2019/01/06 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Douai-Lens,3.07828,50.38,01010000206A080000000000604F882541000000E093D25A41,59178,commune,0,2,2,5,0,33256,71
308145.708854676,6496529.06879057,2019/01/06 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Arras,2.76812,50.2893,01010000206A080000000000007DDB2441000000E0BAC85A41,62041,commune,0,2,2,5,0,31109,72
391162.21911376,6509188.04991023,2019/01/06 00:00:00+00,6,Atmo HDF,Médiocre,#FFAA00,Valenciennes,3.51387,50.3619,01010000206A08000000000000CC7A2641000000A0B8D05A41,59606,commune,0,2,2,6,0,35839,73
365014.383921328,6419907.29480295,2019/01/06 00:00:00+00,4,Atmo HDF,Bon,#99E600,Saint-Quentin,3.27898,49.8475,01010000206A08000000000000A0F92541000000A0B4985A41,02691,commune,0,2,2,4,0,35408,74
294309.80934398,6538555.99784649,2019/01/06 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Béthune,2.64383,50.5299,01010000206A080000000000002597244100000000F0E25A41,62119,commune,0,1,2,5,0,31963,75
252130.854282409,6580252.15296222,2019/01/06 00:00:00+00,4,Atmo HDF,Bon,#99E600,Saint-Omer,2.26493,50.7674,01010000206A08000000000000DCC6234100000020F6FC5A41,62765,commune,0,1,2,4,0,34980,76
263920.701552325,6626460.49089984,2019/01/06 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Dunkerque,2.37084,51.0292,01010000206A08000000000000280324410000002065195B41,59183,commune,1,1,3,5,0,33687,77
254308.263522326,6428768.19464686,2019/01/06 00:00:00+00,4,Atmo HDF,Bon,#99E600,Amiens,2.28449,49.8988,01010000206A08000000000000CFCA2341000000A0799E5A41,80021,commune,0,1,2,4,0,30678,78
252130.854282409,6580252.15296222,2019/01/07 00:00:00+00,3,Atmo HDF,Bon,#99E600,Saint-Omer,2.26493,50.7674,01010000206A08000000000000DCC6234100000020F6FC5A41,62765,commune,0,2,3,3,0,34981,79
342672.562119118,6512347.09158884,2019/01/07 00:00:00+00,4,Atmo HDF,Bon,#99E600,Douai-Lens,3.07828,50.38,01010000206A080000000000604F882541000000E093D25A41,59178,commune,0,3,3,4,0,33257,80
294309.80934398,6538555.99784649,2019/01/07 00:00:00+00,4,Atmo HDF,Bon,#99E600,Béthune,2.64383,50.5299,01010000206A080000000000002597244100000000F0E25A41,62119,commune,0,1,3,4,0,31964,81
308145.708854676,6496529.06879057,2019/01/07 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Arras,2.76812,50.2893,01010000206A080000000000007DDB2441000000E0BAC85A41,62041,commune,0,2,3,5,0,31110,82
391162.21911376,6509188.04991023,2019/01/07 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Valenciennes,3.51387,50.3619,01010000206A08000000000000CC7A2641000000A0B8D05A41,59606,commune,0,2,3,5,0,35840,83
179218.814202631,6573672.10147548,2019/01/07 00:00:00+00,3,Atmo HDF,Bon,#99E600,Boulogne-sur-Mer,1.60995,50.73,01010000206A08000000000000A55C22410000004081F95A41,62160,commune,0,1,3,3,0,31541,84
254308.263522326,6428768.19464686,2019/01/07 00:00:00+00,4,Atmo HDF,Bon,#99E600,Amiens,2.28449,49.8988,01010000206A08000000000000CFCA2341000000A0799E5A41,80021,commune,0,1,3,4,0,30679,85
440968.785684487,6495501.15758161,2019/01/07 00:00:00+00,6,Atmo HDF,Médiocre,#FFAA00,Maubeuge,3.96129,50.2834,01010000206A08000000000000AE742741000000807AC85A41,59392,commune,0,2,3,6,0,34550,86
263920.701552325,6626460.49089984,2019/01/07 00:00:00+00,4,Atmo HDF,Bon,#99E600,Dunkerque,2.37084,51.0292,01010000206A08000000000000280324410000002065195B41,59183,commune,1,2,3,4,0,33688,87
276533.199859203,6318360.23321337,2019/01/07 00:00:00+00,4,Atmo HDF,Bon,#99E600,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,2,2,4,0,32826,88
339168.224548946,6556262.08622229,2019/01/07 00:00:00+00,4,Atmo HDF,Bon,#99E600,Lille,3.0468,50.6309,01010000206A08000000000000AA76254100000040DFED5A41,59350,commune,0,2,3,4,0,34119,89
207996.0157676,6612807.4664509,2019/01/07 00:00:00+00,4,Atmo HDF,Bon,#99E600,Calais,1.86846,50.952,01010000206A0800000000000041EE22410000004060115B41,62193,commune,0,2,3,4,0,32395,90
365014.383921328,6419907.29480295,2019/01/07 00:00:00+00,4,Atmo HDF,Bon,#99E600,Saint-Quentin,3.27898,49.8475,01010000206A08000000000000A0F92541000000A0B4985A41,02691,commune,0,2,2,4,0,35409,91
254308.263522326,6428768.19464686,2019/01/08 00:00:00+00,3,Atmo HDF,Bon,#99E600,Amiens,2.28449,49.8988,01010000206A08000000000000CFCA2341000000A0799E5A41,80021,commune,0,1,3,3,0,30680,92
207996.0157676,6612807.4664509,2019/01/08 00:00:00+00,4,Atmo HDF,Bon,#99E600,Calais,1.86846,50.952,01010000206A0800000000000041EE22410000004060115B41,62193,commune,0,1,3,4,0,32396,93
342672.562119118,6512347.09158884,2019/01/08 00:00:00+00,3,Atmo HDF,Bon,#99E600,Douai-Lens,3.07828,50.38,01010000206A080000000000604F882541000000E093D25A41,59178,commune,0,1,3,3,0,33258,94
276533.199859203,6318360.23321337,2019/01/08 00:00:00+00,3,Atmo HDF,Bon,#99E600,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,2,3,3,0,32827,95
252130.854282409,6580252.15296222,2019/01/08 00:00:00+00,3,Atmo HDF,Bon,#99E600,Saint-Omer,2.26493,50.7674,01010000206A08000000000000DCC6234100000020F6FC5A41,62765,commune,0,1,3,2,0,34982,96
440968.785684487,6495501.15758161,2019/01/08 00:00:00+00,3,Atmo HDF,Bon,#99E600,Maubeuge,3.96129,50.2834,01010000206A08000000000000AE742741000000807AC85A41,59392,commune,0,1,3,3,0,34551,97
339168.224548946,6556262.08622229,2019/01/08 00:00:00+00,3,Atmo HDF,Bon,#99E600,Lille,3.0468,50.6309,01010000206A08000000000000AA76254100000040DFED5A41,59350,commune,0,2,3,3,0,34120,98
365014.383921328,6419907.29480295,2019/01/08 00:00:00+00,3,Atmo HDF,Bon,#99E600,Saint-Quentin,3.27898,49.8475,01010000206A08000000000000A0F92541000000A0B4985A41,02691,commune,0,1,3,0,0,35410,99
179218.814202631,6573672.10147548,2019/01/08 00:00:00+00,3,Atmo HDF,Bon,#99E600,Boulogne-sur-Mer,1.60995,50.73,01010000206A08000000000000A55C22410000004081F95A41,62160,commune,0,1,3,3,0,31542,100
263920.701552325,6626460.49089984,2019/01/08 00:00:00+00,6,Atmo HDF,Médiocre,#FFAA00,Dunkerque,2.37084,51.0292,01010000206A08000000000000280324410000002065195B41,59183,commune,2,2,3,6,0,33689,101
391162.21911376,6509188.04991023,2019/01/08 00:00:00+00,3,Atmo HDF,Bon,#99E600,Valenciennes,3.51387,50.3619,01010000206A08000000000000CC7A2641000000A0B8D05A41,59606,commune,0,1,3,3,0,35841,102
294309.80934398,6538555.99784649,2019/01/08 00:00:00+00,3,Atmo HDF,Bon,#99E600,Béthune,2.64383,50.5299,01010000206A080000000000002597244100000000F0E25A41,62119,commune,0,1,3,2,0,31965,103
308145.708854676,6496529.06879057,2019/01/08 00:00:00+00,3,Atmo HDF,Bon,#99E600,Arras,2.76812,50.2893,01010000206A080000000000007DDB2441000000E0BAC85A41,62041,commune,0,1,3,2,0,31111,104
263920.701552325,6626460.49089984,2019/01/09 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Dunkerque,2.37084,51.0292,01010000206A08000000000000280324410000002065195B41,59183,commune,2,2,3,5,0,33690,105
308145.708854676,6496529.06879057,2019/01/09 00:00:00+00,3,Atmo HDF,Bon,#99E600,Arras,2.76812,50.2893,01010000206A080000000000007DDB2441000000E0BAC85A41,62041,commune,0,1,3,3,0,31112,106
252130.854282409,6580252.15296222,2019/01/09 00:00:00+00,3,Atmo HDF,Bon,#99E600,Saint-Omer,2.26493,50.7674,01010000206A08000000000000DCC6234100000020F6FC5A41,62765,commune,0,1,3,2,0,34983,107
276533.199859203,6318360.23321337,2019/01/09 00:00:00+00,3,Atmo HDF,Bon,#99E600,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,2,3,2,0,32828,108
179218.814202631,6573672.10147548,2019/01/09 00:00:00+00,3,Atmo HDF,Bon,#99E600,Boulogne-sur-Mer,1.60995,50.73,01010000206A08000000000000A55C22410000004081F95A41,62160,commune,0,1,3,3,0,31543,109
342672.562119118,6512347.09158884,2019/01/09 00:00:00+00,3,Atmo HDF,Bon,#99E600,Douai-Lens,3.07828,50.38,01010000206A080000000000604F882541000000E093D25A41,59178,commune,0,2,3,3,0,33259,110
254308.263522326,6428768.19464686,2019/01/09 00:00:00+00,3,Atmo HDF,Bon,#99E600,Amiens,2.28449,49.8988,01010000206A08000000000000CFCA2341000000A0799E5A41,80021,commune,0,1,3,2,0,30681,111
294309.80934398,6538555.99784649,2019/01/09 00:00:00+00,3,Atmo HDF,Bon,#99E600,Béthune,2.64383,50.5299,01010000206A080000000000002597244100000000F0E25A41,62119,commune,0,2,3,2,0,31966,112
339168.224548946,6556262.08622229,2019/01/09 00:00:00+00,3,Atmo HDF,Bon,#99E600,Lille,3.0468,50.6309,01010000206A08000000000000AA76254100000040DFED5A41,59350,commune,0,2,3,3,0,34121,113
365014.383921328,6419907.29480295,2019/01/09 00:00:00+00,3,Atmo HDF,Bon,#99E600,Saint-Quentin,3.27898,49.8475,01010000206A08000000000000A0F92541000000A0B4985A41,02691,commune,0,2,3,2,0,35411,114
391162.21911376,6509188.04991023,2019/01/09 00:00:00+00,3,Atmo HDF,Bon,#99E600,Valenciennes,3.51387,50.3619,01010000206A08000000000000CC7A2641000000A0B8D05A41,59606,commune,0,2,3,3,0,35842,115
440968.785684487,6495501.15758161,2019/01/09 00:00:00+00,3,Atmo HDF,Bon,#99E600,Maubeuge,3.96129,50.2834,01010000206A08000000000000AE742741000000807AC85A41,59392,commune,0,1,3,3,0,34552,116
207996.0157676,6612807.4664509,2019/01/09 00:00:00+00,4,Atmo HDF,Bon,#99E600,Calais,1.86846,50.952,01010000206A0800000000000041EE22410000004060115B41,62193,commune,0,1,3,4,0,32397,117
342672.562119118,6512347.09158884,2019/01/10 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Douai-Lens,3.07828,50.38,01010000206A080000000000604F882541000000E093D25A41,59178,commune,0,3,2,5,0,33260,118
276533.199859203,6318360.23321337,2019/01/10 00:00:00+00,4,Atmo HDF,Bon,#99E600,Creil,2.48414,49.2557,01010000206A080000000000004F372441000000007B585A41,60175,commune,0,3,2,4,0,32829,119
391162.21911376,6509188.04991023,2019/01/10 00:00:00+00,5,Atmo HDF,Moyen,#FFFF00,Valenciennes,3.51387,50.3619,01010000206A08000000000000CC7A2641000000A0B8D05A41,59606,commune,0,3,2,5,0,35843,120
339168.224548946,6556262.08622229,2019/01/10 00:00:00+00,4,Atmo HDF,Bon,#99E600,Lille,3.0468,50.6309,01010000206A08000000000000AA76254100000040DFED5A41,59350,commune,0,3,2,4,0,34122,121
263920.701552325,6626460.49089984,2019/01/10 00:00:00+00,4,Atmo HDF,Bon,#99E600,Dunkerque,2.37084,51.0292,01010000206A08000000000000280324410000002065195B41,59183,commune,1,3,3,4,0,33691,122
179218.814202631,6573672.10147548,2019/01/10 00:00:00+00,3,Atmo HDF,Bon,#99E600,Boulogne-sur-Mer,1.60995,50.73,01010000206A08000000000000A55C22410000004081F95A41,62160,commune,0,2,2,3,0,31544,123
365014.383921328,6419907.29480295,2019/01/10 00:00:00+00,4,Atmo HDF,Bon,#99E600,Saint-Quentin,3.27898,49.8475,01010000206A08000000000000A0F92541000000A0B4985A41,02691,commune,0,3,2,4,0,35412,124
252130.854282409,6580252.15296222,2019/01/10 00:00:00+00,3,Atmo HDF,Bon,#99E600,Saint-Omer,2.26493,50.7674,01010000206A08000000000000DCC6234100000020F6FC5A41,62765,commune,0,3,2,3,0,34984,125
